DEVICE_NAME,DEVICE_TYPE,HASHTAGS,APS,ANS,ANUS,WSA,Depot_no,Week_Month
REDMI NOTE 7 PRO,MOBILE,#RedmiNote7Pro,40,4,56,35000,1,01_JAN
OPPO F11 PRO,MOBILE,#OPPOF11Pro,63,1,36,50000,1,01_JAN
APPLE MAC BOOK PRO,LAPTOP,#MacBookPro,48,14,38,35000,1,01_JAN
APPLE MAC BOOK AIR,LAPTOP,#MacBookAir,46.15384615,10.25641026,43.58974359,12002,1,01_JAN
POCOPHONE F1,MOBILE,#POCOF1,17.56756757,77.02702703,5.405405405,12003,1,01_JAN
GALAXY A30,MOBILE,#GalaxyA30,60,10,30,30502,1,01_JAN
GALAXY A50,MOBILE,#GalaxyA50,64.70588235,11.76470588,23.52941176,31735,1,01_JAN
APPLE WATCH,OTHERS,#AppleWatch,51.1627907,6.976744186,41.86046512,32969,1,01_JAN
REDMI GO,MOBILE,#RedmiGo,100,0,0,34202,1,01_JAN
ONE PLUS 6T,MOBILE,#OnePlus6T,31.91489362,19.14893617,48.93617021,35436,1,01_JAN
MI BAND,OTHERS,#MiBand3,100,0,0,36670,1,01_JAN
REDMI NOTE 7 PRO,MOBILE,#RedmiNote7Pro,77.79949522,10.67620712,11.52429766,31921.69091,1,02_JAN
OPPO F11 PRO,MOBILE,#OPPOF11Pro,81.33418411,10.11960795,8.546207933,32006.83636,1,02_JAN
APPLE MAC BOOK PRO,LAPTOP,#MacBookPro,84.86887301,9.563008785,5.568118208,32091.98182,1,02_JAN
APPLE MAC BOOK AIR,LAPTOP,#MacBookAir,88.4035619,9.006409615,2.590028483,32177.12727,1,02_JAN
POCOPHONE F2,MOBILE,#POCOF2,91.9382508,8.449810446,-0.388061242,32262.27273,1,02_JAN
GALAXY A70,MOBILE,#GalaxyA70,95.47293969,7.893211277,-3.366150967,32347.41818,1,02_JAN
GALAXY A90,MOBILE,#GalaxyA90,99.00762858,7.336612108,-6.344240692,32432.56364,1,02_JAN
APPLE WATCH,OTHERS,#AppleWatch,102.5423175,6.780012938,-9.322330417,32517.70909,1,02_JAN
REDMI GO,MOBILE,#RedmiGo,106.0770064,6.223413769,-12.30042014,32602.85455,1,02_JAN
ONE PLUS 6T,MOBILE,#OnePlus6T,109.6116953,5.6668146,-15.27850987,32688,1,02_JAN
MI BAND,OTHERS,#MiBand4,113.1463842,5.110215431,-18.25659959,32773.14545,1,02_JAN
REDMI NOTE 7 PRO,MOBILE,#RedmiNote7Pro,116.6810731,4.553616261,-21.23468932,32858.29091,1,03_JAN
OPPO F11 PRO,MOBILE,#OPPOF11Pro,120.2157619,3.997017092,-24.21277904,32943.43636,1,03_JAN
APPLE MAC BOOK AIR,LAPTOP,#MacBookAir,127.2851397,2.883818754,-30.16895849,33113.72727,1,03_JAN
POCOPHONE F3,MOBILE,#POCOF3,130.8198286,2.327219584,-33.14704822,33198.87273,1,03_JAN
GALAXY A110,MOBILE,#GalaxyA110,134.3545175,1.770620415,-36.12513794,33284.01818,1,03_JAN
GALAXY A130,MOBILE,#GalaxyA130,137.8892064,1.214021246,-39.10322767,33369.16364,1,03_JAN
APPLE WATCH,OTHERS,#AppleWatch,141.4238953,0.657422077,-42.08131739,33454.30909,1,03_JAN
REDMI GO,MOBILE,#RedmiGo,144.9585842,0.100822907,-45.05940712,33539.45455,1,03_JAN
,,,,,,,,
APPLE MAC BOOK PRO,LAPTOP,#MacBookPro,61.36363636,14.77272727,23.86363636,########,1,03_JAN
APPLE MAC BOOK PRO,LAPTOP,#MacBookPro,63.41463415,13.41463415,23.17073171,########,1,04_JAN
APPLE MAC BOOK PRO,LAPTOP,#MacBookPro,61.72839506,13.58024691,24.69135802,########,1,05_JAN
APPLE MAC BOOK PRO,LAPTOP,#MacBookPro,57.69230769,14.1025641,28.20512821,100,,
,,,,,,,,
APPLE WATCH,OTHERS,#AppleWatch,46.26865672,11.94029851,41.79104478,100,,
,,,,,,,,
APPLE WATCH,OTHERS,#AppleWatch,37.93103448,10.34482759,51.72413793,100,,
,,,,,,,,
APPLE MAC BOOK PRO,LAPTOP,#MacBookPro,59.74025974,12.98701299,27.27272727,100,,
,,,,,,,,
APPLE MAC BOOK PRO,LAPTOP,#MacBookPro,60.52631579,11.84210526,27.63157895,100,,
52.083333333333336,10.416666666666666,37.5

51.041666666666664,10.416666666666666,38.54166666666667

33.333333333333336,16.666666666666668,50.0

70.58823529411765,11.764705882352942,17.647058823529406

61.111111111111114,7.407407407407407,31.48148148148148

#StreetDancer3D,73.33333333333333,4.444444444444445,22.22222222222223,Mon Jan 27 10:45:41 2020

APPLE MAC BOOK PRO,LAPTOP,#MacBookPro,54.054054054054056,12.162162162162161,33.783783783783775,100,Mon Jan 27 19:10:17 2020

APPLE MAC BOOK PRO,LAPTOP,#MacBookPro,64.61538461538461,15.384615384615385,20.0,100,Tue Jan 28 12:56:31 2020
